degree,optimizer,fitted_exponent,analytic_exponent,fit_r2,final_abs_x,steps
4,GD,-0.49999070406948526,-0.5,0.9999999999975137,0.0022360520736540903,1000000
4,Momentum,-0.49971545655832206,-0.5,0.9999999975624427,0.002235594241043561,1000000
6,GD,-0.24999653999749807,-0.25,0.999999999998642,0.03976343027547467,1000000
6,Momentum,-0.2498828106597321,-0.25,0.9999999983475901,0.03976006500753193,1000000
8,GD,-0.16666459829834207,-0.16666666666666666,0.9999999999989141,0.10888651453043116,1000000
8,Momentum,-0.16657850982545094,-0.16666666666666666,0.9999999978690194,0.10887959443094666,1000000
10,GD,-0.12499852304410303,-0.125,0.9999999999990175,0.18285770070567642,1000000
10,Momentum,-0.124921010905554,-0.125,0.9999999969227468,0.18284731323946196,1000000
